,Station,Latitude,Longitude
117,Rathaus Reinickendorf ,52.58833333333334,13.325833333333334
118,Rathaus Schöneberg ,52.48305555555556,13.341944444444445
119,Rathaus Spandau ,52.53527777777778,13.199722222222222
120,Rathaus Steglitz ,52.45611111111111,13.32
121,Rehberge ,52.556666666666665,13.341111111111111
122,Reinickendorfer Straße ,52.54,13.370277777777778
123,Residenzstraße ,52.571111111111115,13.360555555555555
124,Richard-Wagner-Platz ,52.51583333333333,13.307500000000001
125,Rohrdamm ,52.53722222222222,13.2625
126,Rosa-Luxemburg-Platz ,52.52833333333333,13.410277777777779
127,Rosenthaler Platz ,52.53,13.401111111111112
128,Rüdesheimer Platz ,52.473333333333336,13.314444444444446
129,Rudow ,52.41611111111111,13.495277777777776
130,Ruhleben ,52.525555555555556,13.241388888888888
131,Samariterstraße ,52.514722222222225,13.464444444444444
132,Scharnweberstraße ,52.566944444444445,13.312777777777779
133,Schillingstraße ,52.52027777777778,13.421666666666667
134,Schlesisches Tor ,52.50083333333333,13.441666666666666
135,Schloßstraße ,52.46083333333333,13.324444444444444
136,Schönhauser Allee ,52.549166666666665,13.416111111111112
137,Schönleinstraße ,52.49305555555556,13.421944444444444
138,Schwartzkopffstraße ,52.53527777777778,13.377222222222223
139,Seestraße ,52.55,13.352777777777778
140,Senefelderplatz ,52.5325,13.4125
141,Siemensdamm ,52.53666666666666,13.275555555555556
142,Sophie-Charlotte-Platz ,52.51083333333333,13.296666666666667
143,Spichernstraße ,52.49666666666667,13.331111111111111
144,Spittelmarkt ,52.51111111111111,13.403611111111111
145,Stadtmitte ,52.51222222222222,13.389444444444443
146,Strausberger Platz ,52.518055555555556,13.430833333333332
147,Südstern ,52.489444444444445,13.407777777777778
148,Tempelhof ,52.47083333333334,13.385277777777777
149,Theodor-Heuss-Platz ,52.50972222222222,13.273055555555556
150,Tierpark ,52.49638888888889,13.523333333333333
151,Turmstraße ,52.52583333333333,13.343333333333334
152,Uhlandstraße ,52.5025,13.325555555555555
153,Ullsteinstraße ,52.45388888888889,13.384444444444444
154,Viktoria-Luise-Platz ,52.49611111111111,13.342777777777778
155,Vinetastraße ,52.55916666666666,13.413333333333334
156,Voltastraße ,52.54222222222222,13.393055555555556
157,Walther-Schreiber-Platz ,52.465,13.331666666666667
158,Warschauer Straße ,52.50527777777778,13.449166666666667
159,Weberwiese ,52.516666666666666,13.445
160,Wedding ,52.5425,13.366111111111111
161,Weinmeisterstraße ,52.525555555555556,13.405000000000001
162,Westhafen ,52.53638888888889,13.34388888888889
163,Westphalweg ,52.44638888888888,13.385555555555555
164,Wilmersdorfer Straße ,52.50666666666667,13.306666666666667
165,Wittenau ,52.59583333333334,13.336666666666668
166,Wittenbergplatz ,52.50194444444445,13.343055555555557
167,Wuhletal ,52.5125,13.575
168,Wutzkyallee ,52.42333333333333,13.474722222222223
169,Yorckstraße ,52.49305555555556,13.370833333333334
170,Zitadelle ,52.53777777777778,13.217777777777778
171,Zoologischer Garten ,52.507222222222225,13.3325
172,Zwickauer Damm ,52.42333333333333,13.483888888888888
